Color,Fruit,Quality,Days,ID,search_query,Description,image_path
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_0.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_1.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_2.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_3.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_4.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_5.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_6.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_7.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_8.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_9.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_10.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_11.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_12.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_13.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_14.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_15.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_16.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_17.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_18.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_19.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_20.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_21.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_22.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_23.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_24.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_25.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_26.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_27.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_28.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_29.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_30.jpg
bright-green,Avocado,1,4,1,bright-green Avocado not ripe,not ripe,./fruit_images/bright-green_Avocado_not_ripe_31.jpg
